L,P,	Str,	Ilość	Nr na schemacie	Kod producenta	Kod KTM	Typ	Firma	Opis	Funkcja	
135	11	1	XS17-N.L.10	FFS 42990	8360.0044	STECKER	FICA	FICHE FEMELLE 35 CONTACTS STANDARD MARQUE:JAEGER	MP2_SZAFA	TRANSLINE 1228
136	11	1	XS17-N.L.20	532940	8360.0051	KABELKLEMME	RADIALE	SERRE-CABLE 12 A 17,5 MM BOITIER N3-4 MARQUE:JAEGER	MP2_SZAFA	TRANSLINE 1228
137	11	1	KB17		6506.0009	KABEL	SOCABEL	CABLE MCX-T 30X0,6MM2 BLINDE SIMPLE	MP2_SZAFA	TRANSLINE 1228
138	11	1	XP18-N.L.40	FMS 532625	8360.0048	STECKER	RADIALE	FICHE MALE 25 CONTACTS STANDARD MARQUE:JAEGER	MP2_SZAFA	TRANSLINE 1228
139	11	1	XP18-N.L.50	532940	8360.0051	KABELKLEMME	RADIALE	SERRE-CABLE 12 A 17,5 MM BOITIER N3-4 MARQUE:JAEGER	MP2_SZAFA	TRANSLINE 1228
140	11	1	KB18		6506.0007	KABEL	SOCABEL	CABLE MCX-T 19X0,5MM2 BLINDE SIMPLE DIAM. EXT.= 12,6MM	MP2_SZAFA	TRANSLINE 1228
141									MP2_SZAFA	TRANSLINE 1228
142	11	1	XP03-N.L.10	FMS 532606	8360.0046	STECKER	RADIALE	FICHE MALE 6 CONTACTS STANDARD MARQUE:JAEGER	MP2_SZAFA	TRANSLINE 1228
143	11	1	XP03-N.L.20	630135.006	8360.0050	KABELKLEMME	RADIALE	SERRE-CABLE 5 A 9 MM BOITIER N1 MARQUE:JAEGER	MP2_SZAFA	TRANSLINE 1228
144	11	1	KB30	3150750	6506.0005	KABEL	JPM	BLINDE 7X0,5 LIYCY 500V +TRESSE CUIVRE DIAM. EXT.7.4MM	MP2_SZAFA	TRANSLINE 1228
145	11	1	XS00-N.L.40	FFR530755	8360.0075	STECKER	RADIALE	FICHE FEMELLE 4 CONTACTS SERIE RAPIDE MARQUE:JAEGER	MP2_SZAFA	TRANSLINE 1228
146	11	1	XS00-N.L.50	630135.006	8360.0050	KABELKLEMME	RADIALE	SERRE-CABLE 5 A 9 MM BOITIER N1 MARQUE:JAEGER	MP2_SZAFA	TRANSLINE 1228
147	11	1	KP42		6504.0012	KABEL	DIVERS	CABLE H07 RN-F 3X1,5MM2	MP2_SZAFA	TRANSLINE 1228
148	11	1	XS02-N.L.70	FFS 42954	8360.0041	STECKER	FICA	FICHE FEMELLE 6 CONTACTS RAPIDE MARQUE:JAEGER	MP2_SZAFA	TRANSLINE 1228
149	12	1	XS02-N.L.80	630135.006	8360.0050	KABELKLEMME	RADIALE	SERRE-CABLE 5 A 9 MM BOITIER N1 MARQUE:JAEGER	MP2_SZAFA	TRANSLINE 1228
150	12	1	KC30		6504.0014	KABEL	DIVERS	CABLE H07 RN-F 5X1,5 MM2	MP2_SZAFA	TRANSLINE 1228
